---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.UpdData = 4
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.FileName = "..\Input\SampleBVH-output-euler-leftlegtd.txt"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.MotionOptimization.JointAngleOutputs.OutputFile2.SubTalarEversion
2.520200000000000e+000 1.031724836153923e-001 -4.911547220088353e-002 1.926071749478418e-001 9.670158721755443e-001 -6.832592436052123e-001 2.142804529400735e-001
2.524232319865320e+000 1.135291615848718e-001 -4.586557761707888e-002 1.951636601084205e-001 9.744676863780530e-001 -6.775591467066044e-001 2.123285970683090e-001
2.528264639730640e+000 1.239253994718769e-001 -4.257025944018822e-002 1.977727425115616e-001 9.815001299865340e-001 -6.708095870262574e-001 2.105301561011212e-001
2.532296959595960e+000 1.343476561019601e-001 -3.922637967786113e-002 2.004257770368636e-001 9.880964599021930e-001 -6.630317702830367e-001 2.088794733705376e-001
2.536329279461279e+000 1.447814296176371e-001 -3.583177375205549e-002 2.031168112803578e-001 9.942395354106041e-001 -6.542499520190596e-001 2.073832960706398e-001
2.540361599326599e+000 1.552114849410294e-001 -3.238500659324739e-002 2.058402820184339e-001 9.999112981031155e-001 -6.444902567096874e-001 2.060491726280183e-001
2.544393919191919e+000 1.656219875801506e-001 -2.888538562763032e-002 2.085910049981941e-001 1.005092764828883e+000 -6.337813253866242e-001 2.048854024991888e-001
2.548426239057239e+000 1.759966448504568e-001 -2.533296151943776e-002 2.113641535746828e-001 1.009764027196169e+000 -6.221549782577742e-001 2.039009271507503e-001
2.552458558922559e+000 1.863188533824057e-001 -2.172851646124707e-002 2.141552309227839e-001 1.013904265675849e+000 -6.096468549001054e-001 2.031051720894116e-001
2.556490878787879e+000 1.965718517796271e-001 -1.807354101891479e-002 2.169600390197304e-001 1.017491786839982e+000 -5.962969887086999e-001 2.025078473245932e-001
2.560523198653199e+000 2.067388763010965e-001 -1.437020051334148e-002 2.197746466010655e-001 1.020504091922467e+000 -5.821502709975714e-001 2.021187145006811e-001
2.564555518518519e+000 2.168033156656498e-001 -1.062129131340250e-002 2.225953574603221e-001 1.022917983276074e+000 -5.672567622594087e-001 2.019473263357144e-001
2.568587838383838e+000 2.267488602230056e-001 -6.830188333944554e-003 2.254186805955244e-001 1.024709712589137e+000 -5.516718152616853e-001 2.020027434296741e-001
2.572620158249158e+000 2.365596410832324e-001 -3.000786723471816e-003 2.282413042089137e-001 1.025855171647044e+000 -5.354559854187944e-001 2.022932361944063e-001
2.576652478114478e+000 2.462203553054971e-001 8.625589973483283e-004 2.310600755726149e-001 1.026330123054165e+000 -5.186747171844345e-001 2.028259820593088e-001
2.580684797979798e+000 2.557163735779693e-001 4.755095960318423e-003 2.338719886715976e-001 1.026110464281075e+000 -5.013978118195188e-001 2.036067688445185e-001
2.584717117845118e+000 2.650338271786517e-001 8.671732513745090e-003 2.366741817578805e-001 1.025172514312501e+000 -4.836987004545839e-001 2.046397153321586e-001
2.588749437710438e+000 2.741596717451182e-001 1.260709584247688e-002 2.394639467358493e-001 1.023493309749070e+000 -4.656535624659200e-001 2.059270196976603e-001
2.592781757575758e+000 2.830817267150057e-001 1.655558893112841e-002 2.422387511848318e-001 1.021050897212840e+000 -4.473403398786276e-001 2.074687444289874e-001
2.596814077441077e+000 2.917886906470226e-001 2.051144855450704e-002 2.449962723515646e-001 1.017824610162456e+000 -4.288377049073068e-001 2.092626431525566e-001
2.600846397306397e+000 3.002701335570980e-001 2.446880390043438e-002 2.477344410451675e-001 1.013795319539306e+000 -4.102240409041564e-001 2.113040324783625e-001
